Latitude,Longitude,name,description
48.8537,2.34268,"Space Invader PA_0043, 26 rue de l'Hirondelle",
48.853573,2.338489,"Space Invader PA_0044, 2 rue de l'Ancienne ComÃ©die",
48.852267,2.339178,"Space Invader PA_0046, statue de Danton",
48.8516,2.37796,"Space Invader PA_0047, 4bis passage de la Main d'Or",
48.85586,2.3693,"Space Invader PA_0048, 10 rue Amelot",
48.865957,2.378379,"Space Invader PA_0049, 117 rue Oberkampf",
48.85284,2.3744,"Space Invader PA_0051, 13 rue de Charonne",
48.836908,2.372367,"Space Invader PA_0053, face au 16 boulevard Vincent Auriol",
48.827765,2.352881,"Space Invader PA_0055, 43 rue du Moulin des PrÃ©s",
48.828724,2.351604,"Space Invader PA_0056, 10 rue Simonet",
48.834487,2.369748,"Space Invader PA_0057, 34 rue Louise Weiss",
48.833443,2.370642,"Space Invader PA_0058, 14 rue Louise Weiss",
48.844321,2.284636,"Space Invader PA_0059, 1 rue Lacordaire",
48.86361,2.344486,"Space Invader PA_0060, Ã©glise Saint-Eustache",
48.866362,2.347259,"Space Invader PA_0061, 2 rue des Petits Carreaux",
48.867695,2.345456,"Space Invader PA_0062 & PA_1078, 99 rue de RÃ©aumur",
48.853421,2.379863,"Space Invader PA_0063, 74 rue de Charonne",supprimé depuis oct 2023
48.864766,2.297397,"Space Invader PA_0064, devant le MusÃ©e d'Art Moderne",
48.853092,2.373914,"Space Invader PA_0065, 30 rue de Lappe",
48.885639,2.33807,"Space Invader PA_0066, PA_0067 & PA_0068, 63 rue des Trois FrÃ¨res",
48.834656,2.354171,"Space Invader PA_0069, 40 rue du Banquier",
48.856829,2.355465,"Space Invader PA_0070, 1 rue de la Verrerie",
48.854802,2.35902,"Space Invader PA_0071, 5 rue de Fourcy",
48.8616,2.367487,"Space Invader PA_0072, rue Charles Luizet",
48.8684,2.379376,"Space Invader PA_0073, 93 rue Jean-Pierre Timbaud",
48.834295,2.332466,"Space Invader PA_0075, sur le piÃ©destal du lion",
48.83833,2.357013,"Space Invader PA_0076, statue de Jeanne ""au secours"" d'Arc",
48.847133,2.331439,"Space Invader PA_0077, 10 rue de Fleurus",
48.828953,2.352885,"Space Invader PA_0078, 21 passage du Moulin des PrÃ©s",
48.82788,2.35146,"Space Invader PA_0079, 5 rue ChÃ©reau",
48.881628,2.330889,"Space Invader PA_0080, 5 rue Ballu",
48.864884,2.377955,"Space Invader PA_0081, 88 rue Saint-Maur",
48.846892,2.408596,"Space Invader PA_0082, pasage de la VoÃ»te",
48.864552,2.364555,"Space Invader PA_0083, fontaine Boucherat",
48.856007,2.366677,"Space Invader PA_0084, 15 rue du Pas de la Mule",
48.853194,2.378192,"Space Invader PA_0085, 58 rue de Charonne",
48.850563,2.360204,"Space Invader PA_0086, pont de Sully",
48.837394,2.374162,"Space Invader PA_0087, escalier du port de la Gare",
48.862666,2.335168,"Space Invader PA_0088, sortie nord du Carrousel",
48.862751,2.346483,"Space Invader PA_0089, 1 rue Baltard",
48.86372,2.34899,"Space Invader PA_0090, mÃ©tro Etienne Marcel",
48.86031,2.347383,"Space Invader PA_0092, 8 rue de la Ferronnerie",
48.859832,2.333481,"Space Invader PA_0093, pont du Carroussel",
48.84704,2.33263,"Space Invader PA_0094, porte Fleurus du jardin du Luxembourg",
48.867242,2.337616,"Space Invader PA_0095, 65 rue Richelieu",
48.83944,2.389005,"Space Invader PA_0097, 205 rue de Charenton",
48.853192,2.343702,"Space Invader PA_0098 & PA_0099, sur la fontaine Saint-Michel",
