name,Latitude,Longitude
"Space Invader PA_0268, 96 rue de Courcelles",48.879002,2.303607
"Space Invader PA_0269, sur le Chasseur Ã  pied de la Redoute de Gravelle",48.818166,2.45549
"Space Invader PA_0270, 2 rue Yves Toudic",48.86818,2.36524
"Space Invader PA_0271, 7 rue Vancouleurs",48.869135,2.377477
"Space Invader PA_0272, 96 rue de Tolbiac",48.8268,2.364164
"Space Invader PA_0273, 21 rue Aubry le Boucher",48.860374,2.350215
"Space Invader PA_0275, 14 rue Pierre Dupont",48.879429,2.365226
"Space Invader PA_0277, 31 rue de Charonne",48.853336,2.375826
"Space Invader PA_0278, 53 rue des MaraÃ®chers",48.85287,2.40656
"Space Invader PA_0279, 116 rue du Faubourg du Temple",48.87163,2.37615
"Space Invader PA_0280, 8 rue Spinoza",48.863872,2.385976
"Space Invader PA_0282, 61 rue de la Verrerie",48.858056,2.352673
"Space Invader PA_0283, 101 rue du Faubourg du Temple",48.87084,2.37355
"Space Invader PA_0285, passage Ben Aiad",48.86603,2.34607
"Space Invader PA_0286, 28 rue du Chevalier de la Barre",48.887508,2.344445
"Space Invader PA_0291, 15 rue des PlÃ¢triÃ¨res",48.867868,2.390122
"Space Invader PA_0293, 84 rue du Faubourg du Temple",48.870664,2.37335
"Space Invader PA_0294, 14 rue de Moussy",48.85821,2.35607
"Space Invader PA_0295, 4 rue du Jour",48.863788,2.344822
"Space Invader PA_0301, 44 rue de Charenton",48.850261,2.373484
"Space Invader PA_0302, 37 rue de Belleville",48.879066,2.389857
"Space Invader PA_0303, 24 passage Boiton",48.82682,2.35075
"Space Invader PA_0305, face au 49 rue Geoffroy-Saint-Hilaire",48.84271,2.35551
"Space Invader PA_0307, 77 rue de MÃ©nilmontant",48.868685,2.389394
"Space Invader PA_0308, 2 quai du 4 septembre",48.841443,2.225299
"Space Invader PA_0309, 1 boulevard de l'Amiral Bruix",48.876904,2.282737
"Space Invader PA_0310 & PA_1335, passerelle de la Porte de Saint-Cloud",48.83748,2.255328
"Space Invader PA_0311, face au 5 rue BrÃ©a",48.843579,2.330293
"Space Invader PA_0312, parvis de Saint-Pierre de Montrouge",48.828366,2.327061
"Space Invader PA_0315, face au 32 boulevard Auguste Blanqui",48.830074,2.351154
"Space Invader PA_0316 & PA_0940, rue des Artistes",48.827372,2.334741
"Space Invader PA_0317, devant la Fondation Cartier",48.83667,2.33168
"Space Invader PA_0320, 34 rue du Faubourg Saint-Jacques",48.836622,2.338129
"Space Invader PA_0321, 17 rue Malebranche",48.846537,2.342015
"Space Invader PA_0322, 77 allÃ©e du SÃ©minaire",48.848861,2.332883
"Space Invader PA_0323, 102 rue de Charonne",48.85437,2.384158
"Space Invader PA_0325, 17 rue Robineau",48.86496,2.39397
"Space Invader PA_0326, 10 rue de Picpus",48.84783,2.39293
"Space Invader PA_0327, 29 rue du Faubourg PoissonniÃ¨re",48.87301,2.34781
"Space Invader PA_0328, 40 rue Ã‰tienne Marcel",48.865113,2.344234
"Space Invader PA_0329, 14 rue Pajol",48.88652,2.36116
"Space Invader PA_0330, 102 rue du Faubourg PoissonniÃ¨re",48.878407,2.349266
"Space Invader PA_0331, 2 rue Pierre au Lard",48.859389,2.353003
"Space Invader PA_0332, 41 rue du Repos sous la plaque du cimÃ¨tiÃ¨re",48.859626,2.38935
"Space Invader PA_0333, 39 rue Condorcet",48.880004,2.344263
"Space Invader PA_0334, 7-13 Place Valhubert",48.84398,2.363976
"Space Invader PA_0335, 135 boulevard de la Villette",48.882124,2.369949
"Space Invader PA_0336, centre d'HygiÃ¨ne Sociale",48.890439,2.353239
"Space Invader PA_0339, square du Docteur-Grancher",48.86541,2.39475
"Space Invader PA_0340, 45 quai de Bourbon",48.85356,2.35363
"Space Invader PA_0342, 19 rue LaferriÃ¨re",48.879075,2.336928
"Space Invader PA_0343, pont d'IÃ©na (rive droite)",48.860173,2.291105
"Space Invader PA_0344, tunnel du quai Branly",48.859365,2.293519
"Space Invader PA_0345, 95 rue de SÃ¨vres",48.84892,2.32166
"Space Invader PA_0346, 16 boulevard Pasteur",48.842905,2.312245
"Space Invader PA_0347, passage des Ã‰pinettes",48.843163,2.325474
"Space Invader PA_0348, 39bis boulevard de la Chapelle",48.884037,2.356254
"Space Invader PA_0349, 7 avenue Bosquet",48.861245,2.302593
"Space Invader PA_0350, Ã©cole primaire de l'avenue d'Ivry",48.822933,2.365082
"Space Invader PA_0351, 121 rue de MÃ©nilmontant",48.870021,2.394195
"Space Invader PA_0352, 21 rue d'Alsace",48.877675,2.358214
"Space Invader PA_0353, sortie de mÃ©tro face au 27 boulevard de la Madeleine",48.86946,2.32475
"Space Invader PA_0354, 13 rue Jean Lantier",48.858659,2.345915
"Space Invader PA_0355, 4 rue de la Grande Truanderie",48.862629,2.349708
"Space Invader PA_0357, 21 boulevard Lefebvre",48.832037,2.290355
"Space Invader PA_0358, 14 rue de Savies",48.871463,2.391285
"Space Invader PA_0359, 45 rue Saint-Roch",48.866424,2.332864
"Space Invader PA_0360, 0 rue Saint-Roch",48.863935,2.331188
"Space Invader PA_0362, en face de Chez Prune",48.871724,2.364704
"Space Invader PA_0363, 116 avenue de Choisy",48.826298,2.360009
